sp,environment,DF,SVL,logDF,logSVL
Alytes_cisternasii,running,1491,41,3.173477643,1.612783857
Xenopus_ruwenzoriensis,still,1500,44,3.176091259,1.643452676
Scaphiopus_couchii,still,1650,72,3.217483944,1.857332496
Scaphiopus_hurterii,still,1500,67,3.176091259,1.826074803
Spea_multiplicata,still,1300,49,3.113943352,1.69019608
Pelobates_cultripes,still,1075,85,3.031408464,1.929418926
Xenophrys_minor,running,3456,32,3.538573734,1.505149978
Leptolalax_arayai,running,5588,29.6,3.747256397,1.471291711
Oreolalax_omeimontis,running,1071,58.4,3.029789471,1.766412847
Hadromophryne_natalensis,running,1500,45,3.176091259,1.653212514
Heleophryne_regis,running,1800,43,3.255272505,1.633468456
Heleophryne_purcelli,running,2250,47,3.352182518,1.672097858
Leptopelis_argenteus,still,1750,45,3.243038049,1.653212514
Leptopelis_bocagii,still,600,52,2.77815125,1.716003344
Leptopelis_concolor,still,1750,34,3.243038049,1.531478917
Cardioglossa_occidentalis,running,4100,27.3,3.612783857,1.436162647
Kassina_senegalensis,still,1000,49,3,1.69019608
Semnodactylus_wealii,still,2000,44,3.301029996,1.643452676
Kassina_maculata,still,1700,65,3.230448921,1.812913357
Afrixalus_knysnae,still,3800,25,3.579783597,1.397940009
Afrixalus_delicatus,still,4525,22.2,3.655618584,1.346352974
Afrixalus_stuhlmanni,still,4650,21.1,3.667452953,1.324282455
Afrixalus_fornasini,still,2450,38,3.389166084,1.579783597
Afrixalus_laevis,running,3000,23,3.477121255,1.361727836
Afrixalus_dorsalis,still,3587,28,3.554731377,1.447158031
Afrixalus_paradorsalis,still,2864,34,3.456973014,1.531478917
Heterixalus_boettgeri,still,2850,25,3.45484486,1.397940009
Heterixalus_andrakata,still,3200,29,3.505149978,1.462397998
Heterixalus_variabilis,still,3500,31,3.544068044,1.491361694
Hyperolius_pusillus,still,4950,21,3.694605199,1.322219295
Hyperolius_guttulatus,running,2000,35,3.301029996,1.544068044
Hyperolius_argus,still,2000,34,3.301029996,1.531478917
Hyperolius_phantasticus,still,2529,37,3.402948829,1.568201724
Hyperolius_viridiflavus,running,4250,30,3.62838893,1.477121255
Hyperolius_kivuensis,still,2649,33,3.423081958,1.51851394
Hyperolius_alticola,running,2250,33,3.352182518,1.51851394
Hyperolius_cystocandicans,still,2813,28,3.449169732,1.447158031
Hyperolius_picturatus,running,3850,31,3.58546073,1.491361694
Hyperolius_baumanni,still,3000,30,3.477121255,1.477121255
Hyperolius_torrentis,running,3500,38,3.544068044,1.579783597
Hyperolius_cinnamomeoventris,still,3246,28,3.511348515,1.447158031
Hyperolius_montanus,still,2750,28,3.439332694,1.447158031
Hyperolius_puncticulatus,still,2000,33,3.301029996,1.51851394
Chiasmocleis_hudsoni,still,3795,17,3.57921178,1.230448921
Dermatonotus_muelleri,still,1758,62.4,3.245018871,1.79518459
Glyphoglossus_molossus,still,700,77,2.84509804,1.886490725
Hildebrandtia_ornata,still,1400,65,3.146128036,1.812913357
Ptychadena_anchietae,still,1750,51,3.243038049,1.707570176
Ptychadena_mahnerti,still,3000,42,3.477121255,1.62324929
Phrynobatrachus_dendrobates,running,3800,31,3.579783597,1.491361694
Phrynobatrachus_acridoides,still,2000,28,3.301029996,1.447158031
Pyxicephalus_adspersus,still,225,245,2.352182518,2.389166084
Pyxicephalus_edulis,still,525,120,2.720159303,2.079181246
