sp,max,med,DF
Agalychnis_callidryas,59,45.9,2006
Amolops_panhai,34,32.6,6500
Atelopus_flavescens,30,28,2725
Boophis_xerophilus,38.7,36.6,2700
Cardioglossa_occidentalis,27.3,26.1,4100
Centrolene_buckleyi,34.7,30.2,2500
Chiromantis_doriae,26.5,24.5,4300
Crossodactylus_caramaschii,25.8,24.5,5000
Dendropsophus_brevifrons,22,17.5,4254
Duellmanohyla_rufioculis,30,26.65,2320
Espadarana_prosoblepon,28,26.5,5758
Exerodonta_melanomma,29.9,27.25,2336
Fejervarya_syhadrensis,30.9,27.8,3350
Hyalinobatrachium_ignioculus,23,21.6,4920
Hylodes_dactylocinus,27,25.2,2973
Hylomantis_lemur,40.8,35.5,2396
Hyloscirtus_tapichalaca,63.8,61.8,1469
Hypsiboas_microderma,32.7,31.7,3300
Isthmohyla_pseudopuma,41.4,39.7,956
Leptodactylus_mystacinus,65,54.1,2275
Litoria_spartacus,37.5,36.77,2919
Paratelmatobius_cardosoi,17.9,17.4,2550
Phyllomedusa_atelopoides,37.4,36.9,1150
Physalaemus_barrioi,29.45,26.67,2265
Proceratophrys_cururu,43.1,38.86,800
Pseudacris_fouquettei,29.8,26.4,3138
Scinax_crospedospilus,33.3,31,1350
Smilisca_puma,38.1,34.8,740
Teratohyla_pulverata,29,25.5,5950
Tomopterna_krugerensis,44.8,41.3,2500
