"sp" "environment" "DF" "SVL" "logDF" "logSVL"
"1" "Alytes_cisternasii" "running" 1491 41 3.17347764345299 1.61278385671974
"2" "Xenopus_ruwenzoriensis" "still" 1500 44 3.17609125905568 1.64345267648619
"3" "Scaphiopus_couchii" "still" 1650 72 3.21748394421391 1.85733249643127
"4" "Scaphiopus_hurterii" "still" 1500 67 3.17609125905568 1.82607480270083
"5" "Spea_multiplicata" "still" 1300 49 3.11394335230684 1.69019608002851
"6" "Pelobates_cultripes" "still" 1075 85 3.03140846425162 1.92941892571429
"7" "Xenophrys_minor" "running" 3456 32 3.53857373380686 1.50514997831991
"8" "Leptolalax_arayai" "running" 5588 29.6 3.74725639744214 1.47129171105894
"9" "Oreolalax_omeimontis" "running" 1071 58.4 3.02978947083186 1.7664128471124
"10" "Hadromophryne_natalensis" "running" 1500 45 3.17609125905568 1.65321251377534
"11" "Heleophryne_regis" "running" 1800 43 3.25527250510331 1.63346845557959
"12" "Heleophryne_purcelli" "running" 2250 47 3.35218251811136 1.67209785793572
"13" "Leptopelis_argenteus" "still" 1750 45 3.24303804868629 1.65321251377534
"14" "Leptopelis_bocagii" "still" 600 52 2.77815125038364 1.7160033436348
"15" "Leptopelis_concolor" "still" 1750 34 3.24303804868629 1.53147891704226
"16" "Cardioglossa_occidentalis" "running" 4100 27.3 3.61278385671974 1.43616264704076
"17" "Kassina_senegalensis" "still" 1000 49 3 1.69019608002851
"18" "Semnodactylus_wealii" "still" 2000 44 3.30102999566398 1.64345267648619
"19" "Kassina_maculata" "still" 1700 65 3.23044892137827 1.81291335664286
"20" "Afrixalus_knysnae" "still" 3800 25 3.57978359661681 1.39794000867204
"21" "Afrixalus_delicatus" "still" 4525 22.2 3.65561858354122 1.34635297445064
"22" "Afrixalus_stuhlmanni" "still" 4650 21.1 3.66745295288995 1.32428245529769
"23" "Afrixalus_fornasini" "still" 2450 38 3.38916608436453 1.57978359661681
"24" "Afrixalus_laevis" "running" 3000 23 3.47712125471966 1.36172783601759
"25" "Afrixalus_dorsalis" "still" 3587 28 3.55473137667597 1.44715803134222
"26" "Afrixalus_paradorsalis" "still" 2864 34 3.45697301363582 1.53147891704226
"27" "Heterixalus_boettgeri" "still" 2850 25 3.45484486000851 1.39794000867204
"28" "Heterixalus_andrakata" "still" 3200 29 3.50514997831991 1.46239799789896
"29" "Heterixalus_variabilis" "still" 3500 31 3.54406804435028 1.49136169383427
"30" "Hyperolius_pusillus" "still" 4950 21 3.69460519893357 1.32221929473392
"31" "Hyperolius_guttulatus" "running" 2000 35 3.30102999566398 1.54406804435028
"32" "Hyperolius_argus" "still" 2000 34 3.30102999566398 1.53147891704226
"33" "Hyperolius_phantasticus" "still" 2529 37 3.4029488293444 1.56820172406699
"34" "Hyperolius_viridiflavus" "running" 4250 30 3.62838893005031 1.47712125471966
"35" "Hyperolius_kivuensis" "still" 2649 33 3.42308195829723 1.51851393987789
"36" "Hyperolius_alticola" "running" 2250 33 3.35218251811136 1.51851393987789
"37" "Hyperolius_cystocandicans" "still" 2813 28 3.4491697321652 1.44715803134222
"38" "Hyperolius_picturatus" "running" 3850 31 3.5854607295085 1.49136169383427
"39" "Hyperolius_baumanni" "still" 3000 30 3.47712125471966 1.47712125471966
"40" "Hyperolius_torrentis" "running" 3500 38 3.54406804435028 1.57978359661681
"41" "Hyperolius_cinnamomeoventris" "still" 3246 28 3.51134851549021 1.44715803134222
"42" "Hyperolius_montanus" "still" 2750 28 3.43933269383026 1.44715803134222
"43" "Hyperolius_puncticulatus" "still" 2000 33 3.30102999566398 1.51851393987789
"44" "Chiasmocleis_hudsoni" "still" 3795 17 3.5792117802315 1.23044892137827
"45" "Dermatonotus_muelleri" "still" 1758 62.4 3.24501887073775 1.79518458968242
"46" "Glyphoglossus_molossus" "still" 700 77 2.84509804001426 1.88649072517248
"47" "Hildebrandtia_ornata" "still" 1400 65 3.14612803567824 1.81291335664286
"48" "Ptychadena_anchietae" "still" 1750 51 3.24303804868629 1.70757017609794
"49" "Ptychadena_mahnerti" "still" 3000 42 3.47712125471966 1.6232492903979
"50" "Phrynobatrachus_dendrobates" "running" 3800 31 3.57978359661681 1.49136169383427
"51" "Phrynobatrachus_acridoides" "still" 2000 28 3.30102999566398 1.44715803134222
"52" "Pyxicephalus_adspersus" "still" 225 245 2.35218251811136 2.38916608436453
"53" "Pyxicephalus_edulis" "still" 525 120 2.72015930340596 2.07918124604762
"54" "Tomopterna_delalandii" "still" 2500 44.8 3.39794000867204 1.65127801399814
"55" "Tomopterna_tuberculosa" "still" 2600 40 3.41497334797082 1.60205999132796
"56" "Tomopterna_cryptotis" "still" 3450 45 3.53781909507327 1.65321251377534
"57" "Poyntonia_paludicola" "running" 2200 30 3.34242268082221 1.47712125471966
"58" "Cacosternum_nanum" "still" 3600 15 3.55630250076729 1.17609125905568
"59" "Cacosternum_boettgeri" "still" 4500 19 3.65321251377534 1.27875360095283
"60" "Strongylopus_grayii" "still" 2300 35 3.36172783601759 1.54406804435028
"61" "Nyctibatrachus_major" "running" 1250 55 3.09691001300806 1.74036268949424
"62" "Hoplobatrachus_occipitalis" "still" 1250 104 3.09691001300806 2.01703333929878
"63" "Hoplobatrachus_tigerinus" "still" 520 120 2.7160033436348 2.07918124604762
"64" "Sphaerotheca_breviceps" "still" 1950 48 3.29003461136252 1.68124123737559
"65" "Fejervarya_sakishimensis" "still" 1030 55.5 3.01283722470517 1.74429298312268
"66" "Fejervarya_syhadrensis" "still" 3350 29.3 3.52504480703685 1.46686762035411
"67" "Paa_spinosa" "running" 834 101 2.92116605063774 2.00432137378264
"68" "Limnonectes_microdiscus" "running" 875 48.6 2.94200805302231 1.68663626926229
"69" "Limnonectes_gyldenstolpei" "running" 1085 53 3.03542973818455 1.72427586960079
"70" "Limnonectes_arathooni" "running" 3380 42 3.52891670027765 1.6232492903979
"71" "Limnonectes_blythii" "running" 428 105.4 2.63144376901317 2.02284061087653
"72" "Aglyptodactylus_laticeps" "still" 2350 45.4 3.37106786227174 1.6570558528571
"73" "Boophis_xerophilus" "still" 2700 38.7 3.43136376415899 1.58771096501891
"74" "Boophis_luteus" "running" 3250 40 3.51188336097887 1.60205999132796
"75" "Boophis_goudotii" "still" 750 70 2.8750612633917 1.84509804001426
"76" "Boophis_boehmei" "running" 2500 30 3.39794000867204 1.47712125471966
"77" "Boophis_marojezensis" "running" 5583 27 3.74686762785043 1.43136376415899
"78" "Boophis_sibilans" "running" 3300 32.5 3.51851393987789 1.51188336097887
"79" "Boophis_rappiodes" "running" 3000 25.1 3.47712125471966 1.39967372148104
"80" "Guibemantis_tornieri" "still" 1850 49 3.26717172840301 1.69019608002851
"81" "Blommersia_blommersae" "still" 6000 21.3 3.77815125038364 1.32837960343874
"82" "Blommersia_domerguei" "still" 4350 17 3.63848925695464 1.23044892137827
"83" "Mantella_viridis" "running" 4350 25 3.63848925695464 1.39794000867204
"84" "Mantidactylus_argenteus" "running" 4250 27 3.62838893005031 1.43136376415899
"85" "Mantidactylus_charlotteae" "running" 2900 26.2 3.46239799789896 1.41830129131975
"86" "Mantidactylus_opiparis" "running" 3150 26.1 3.4983105537896 1.41664050733828
