"sp","environment","DF","SVL","logDF","logSVL"
"Alytes_cisternasii","running",1491,41,7.30720231476474,3.71357206670431
"Xenopus_ruwenzoriensis","still",1500,44,7.3132203870903,3.78418963391826
"Scaphiopus_couchii","still",1650,72,7.40853056689463,4.27666611901606
"Scaphiopus_hurterii","still",1500,67,7.3132203870903,4.20469261939097
"Spea_multiplicata","still",1300,49,7.17011954344963,3.89182029811063
"Pelobates_cultripes","still",1075,85,6.98007594056176,4.44265125649032
"Xenophrys_minor","running",3456,32,8.14786712992395,3.46573590279973
"Leptolalax_arayai","running",5588,29.6,8.62837672037685,3.38777436133001
"Oreolalax_omeimontis","running",1071,58.4,6.97634807044775,4.06731588983418
"Hadromophryne_natalensis","running",1500,45,7.3132203870903,3.80666248977032
"Heleophryne_regis","running",1800,43,7.49554194388426,3.76120011569356
"Heleophryne_purcelli","running",2250,47,7.71868549519847,3.85014760171006
"Leptopelis_argenteus","still",1750,45,7.46737106691756,3.80666248977032
"Leptopelis_bocagii","still",600,52,6.39692965521615,3.95124371858143
"Leptopelis_concolor","still",1750,34,7.46737106691756,3.52636052461616
"Cardioglossa_occidentalis","running",4100,27.3,8.3187422526924,3.30688670219091
"Kassina_senegalensis","still",1000,49,6.90775527898214,3.89182029811063
"Semnodactylus_wealii","still",2000,44,7.60090245954208,3.78418963391826
"Kassina_maculata","still",1700,65,7.43838353004431,4.17438726989564
"Afrixalus_knysnae","still",3800,25,8.24275634571448,3.2188758248682
"Afrixalus_delicatus","still",4525,22.2,8.41737285613403,3.10009228887823
"Afrixalus_stuhlmanni","still",4650,21.1,8.4446224985814,3.04927304048202
"Afrixalus_fornasini","still",2450,38,7.80384330353877,3.63758615972639
"Afrixalus_laevis","running",3000,23,8.00636756765025,3.13549421592915
"Afrixalus_dorsalis","still",3587,28,8.18507147753228,3.3322045101752
"Afrixalus_paradorsalis","still",2864,34,7.95997452808054,3.52636052461616
"Heterixalus_boettgeri","still",2850,25,7.9550742732627,3.2188758248682
"Heterixalus_andrakata","still",3200,29,8.07090608878782,3.36729582998647
"Heterixalus_variabilis","still",3500,31,8.1605182474775,3.43398720448515
"Hyperolius_pusillus","still",4950,21,8.50714285556274,3.04452243772342
"Hyperolius_guttulatus","running",2000,35,7.60090245954208,3.55534806148941
"Hyperolius_argus","still",2000,34,7.60090245954208,3.52636052461616
"Hyperolius_phantasticus","still",2529,37,7.83557924666997,3.61091791264422
"Hyperolius_viridiflavus","running",4250,30,8.35467426191846,3.40119738166216
"Hyperolius_kivuensis","still",2649,33,7.88193748927207,3.49650756146648
"Hyperolius_alticola","running",2250,33,7.71868549519847,3.49650756146648
"Hyperolius_cystocandicans","still",2813,28,7.94200680848986,3.3322045101752
"Hyperolius_picturatus","running",3850,31,8.25582842728183,3.43398720448515
"Hyperolius_baumanni","still",3000,30,8.00636756765025,3.40119738166216
"Hyperolius_torrentis","running",3500,38,8.1605182474775,3.63758615972639
"Hyperolius_cinnamomeoventris","still",3246,28,8.08517874807454,3.3322045101752
"Hyperolius_montanus","still",2750,28,7.91935619066062,3.3322045101752
"Hyperolius_puncticulatus","still",2000,33,7.60090245954208,3.49650756146648
"Chiasmocleis_hudsoni","still",3795,17,8.24143968982973,2.83321334405622
"Dermatonotus_muelleri","still",1758,62.4,7.47193207824512,4.13356527537538
"Glyphoglossus_molossus","still",700,77,6.5510803350434,4.34380542185368
"Hildebrandtia_ornata","still",1400,65,7.24422751560335,4.17438726989564
"Ptychadena_anchietae","still",1750,51,7.46737106691756,3.93182563272433
"Ptychadena_mahnerti","still",3000,42,8.00636756765025,3.73766961828337
"Phrynobatrachus_dendrobates","running",3800,31,8.24275634571448,3.43398720448515
"Phrynobatrachus_acridoides","still",2000,28,7.60090245954208,3.3322045101752
"Pyxicephalus_adspersus","still",225,245,5.41610040220442,5.50125821054473
